Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
------------------
210352,279323

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
---------------------
30447756,279507,575807
3456473,575848,614621
25021842,614632,883227
-25704889,883250,914209
-22202022,914250,941607
-4006404,941628,950159
48061067,950182,1429209
-14282867,1429233,1449077
-12854238,1449094,1461437
-25067644,1461454,1491125
61525045,1491131,2101429
-49471616,2101452,2154448
-7486677,2154491,2167815
23893517,2167838,2402835
-2239689,2402852,2408155
36076041,2408167,2777694
-56459643,2777716,2837476
27460385,2837498,3101083
-9455360,3101092,3110285
-768807,3110295,3111329
1462828,3111370,3131400
7891764,3131417,3212732
-15977441,3212774,3234237
6866235,3234259,3304718
-14713538,3304736,3324780
42586274,3324819,3753186
-6224075,3753209,3765279
-4045132,3765287,3769375
21551716,3769415,3996169
-10938664,3996192,4012921
2337404,4012930,4036525
-41771052,4036534,4076091
24450320,4076113,4317639
-33432202,4317663,4355441
52727552,4355463,4910610
-51456902,4910634,4965353
38911980,4965391,5364657
-43903417,5364675,5418499
34591341,5418507,5761509
-3231365,5761550,5768721
-23714338,5768743,5798023
41664362,5798047,6229376
-1251673,6229398,6233004
-3008479,6233020,6239682
17208990,6239698,6443757
-62766776,6443767,6505699
21758849,6505714,6725664
-20145176,6725687,6750647
52305595,6750653,7321959
-8407228,7321981,7336941
9947465,7336962,7452231
2750783,7452253,7486294
-369327,7486317,7487662
-20712644,7487680,7513176
-10964979,7513217,7529982
-14569725,7530004,7550141
-10078030,7550163,7566220
17226877,7566230,7726842
38836964,7726882,8137441
-9089753,8137463,8152379
-49824459,8152403,8205660
208827,8205666,8207598
14234041,8207599,8340205
35750221,8340215,8701689
-45087510,8701709,8750920
25092630,8750943,8990532
8845971,8990549,9077880
-30629450,9077903,9113975
44925364,9113997,9560149
-15166936,9560172,9581034
-24108534,9581057,9610293
41140519,9610316,10033272
10260705,10033296,10143296
-28276597,10143334,10176125
-21457142,10176142,10202679
-124845,10202719,10203374
7959867,10203395,10284156
38752513,10284179,10678110
-29127803,10678139,10710940
-5544400,10710961,10722659
11157843,10722680,10837250
4144229,10837273,10886000
16618814,10886022,11060660
-19374335,11060702,11085643
-13087287,11085659,11098656
33075197,11098674,11448190
-37505557,11448209,11489556
-21496234,11489607,11516267
21893932,11516275,11720224
-22188356,11720242,11747208
49486338,11747214,12231180
-36649809,12231203,12271914
47828840,12271922,12769537
-18185149,12769555,12791536
11778506,12791545,12911281
-8544990,12911305,12925910
1511217,12925933,12949924
-42987145,12949946,12999525
34619786,12999548,13334444
19336982,13334466,13536557
-7597036,13536567,13544105
-36887821,13544115,13585464
34812632,13585484,13928450
-45437913,13928473,13978415
16336584,13978423,14143035
-19047223,14143058,14167222
22901327,14167229,14380519
722691,14380537,14393667
2812155,14393676,14419863
-1905663,14419887,14424722
-2453397,14424768,14430645
34568855,14430668,14805943
-50007397,14805962,14859716
28591823,14859738,15148254
15446958,15148276,15317492
-15544185,15317515,15338558
24949423,15338574,15610010
-27558094,15610033,15642526
-18180062,15642549,15666217
32052582,15666240,16000908
-29118924,16000927,16034882
37746871,16034904,16410680
-32614520,16410696,16441625
30330203,16441647,16759954
-5063640,16759977,16770090
-21443227,16770102,16791361
-7071290,16791371,16798447
3682873,16798470,16839083
-6040301,16839106,16850847
40138317,16850866,17250941
-17378746,17250962,17274061
25622095,17274100,17539843
-49739892,17539866,17599338
21058570,17599378,17805718
18599641,17805725,18008659
-7993301,18008682,18022607
4775631,18022616,18071010
-19094690,18071033,18095375
9500558,18095384,18192069
12257853,18192109,18328741
-41441330,18328765,18374528
11676377,18374537,18482984
8802654,18482994,18569084
23503080,18569105,18832146
-29856252,18832187,18866860
-12046274,18866898,18884520
-14587104,18884542,18904661
64147484,18904667,19571847
-15965288,19571870,19593341
-4647044,19593364,19603094
-6804278,19603115,19617788
17978792,19617874,19805978
-25214206,19806002,19836340
-27912835,19836362,19868941
25593556,19868947,20106782
1313290,20106799,20125177
11136610,20125194,20241855
-18218962,20241878,20265388
14367603,20265410,20409156
10958348,20409179,20535343
11276341,20535361,20669248
-28520853,20669264,20701773
19430778,20701812,20906754
-3874537,20906771,20914701
-27511104,20914713,20942217
46797393,20942234,21411111
-66230785,21411132,21490676
45133256,21490685,21920868
11214414,21920890,22041613
-43535989,22041635,22090130
-3935446,22090161,22098565
1906224,22098588,22124023
9067370,22124046,22214776
-11367130,22214799,22232177
-463387,22232198,22233815
14597425,22233838,22383076
33517173,22383117,22735795
3373076,22735815,22776815
-23024415,22776836,22807792
-24563472,22807832,22837455
39432167,22837477,23240900
-34893373,23240942,23280025
33107957,23280048,23612274
-3685465,23612298,23620255
-12476343,23620279,23638376
-11976073,23638448,23656401
-15465300,23656442,23677418
38955277,23677436,24071163
16466417,24071184,24244495
-60228029,24244536,24307806
13437115,24307814,24439181
32916792,24439204,24779044
-18811836,24779061,24803110
29160439,24803132,25101574
6603816,25101598,25174995
-52745152,25175017,25231664
-715694,25231688,25233986
38364362,25234009,25624167
-14969894,25624189,25644972
-34568022,25644995,25683920
52292452,25683927,26195269
-33093314,26195292,26233804
74094,26233823,26236146
7090825,26236169,26308507
23034391,26308548,26549100
15499468,26549122,26718714
-49508816,26718756,26771939
-6099181,26771963,26783642
38433915,26783666,27159085
5531661,27159109,27221688
4437461,27221711,27273356
-53028214,27273366,27323497
54204797,27323519,27860522
-30958296,27860545,27900831
13284774,27900840,28031313
17512474,28031334,28232193
-27524655,28232215,28264785
16930886,28264794,28434223
-1994404,28434244,28439253
-24339839,28439276,28469778
-19735098,28469802,28494499
-1349617,28494506,28495804
19992243,28495806,28681760
38256679,28681798,29071912
-20175774,29071936,29097323
-17624483,29097340,29120107
43834599,29120136,29566321
-8193226,29566343,29580669
-7573359,29580692,29594161
-15840106,29594179,29614655
-24743796,29614694,29644518
4133744,29644540,29689271
40558407,29689287,30101939
-48876389,30101956,30154207
20621028,30154214,30359922
-19664558,30359946,30385011
6201758,30385033,30448822
9208607,30448838,30535058
3043318,30535080,30569627
36484009,30569649,30944283
-33014959,30944305,30981895
-4866103,30981913,30991468
3200772,30991491,31027613
32483439,31027636,31374151
-22378625,31374174,31401833
-23566597,31401842,31430640
14303005,31430657,31571662
28528940,31571679,31861432
-12282000,31861450,31879480
-39935800,31879520,31929906
10860432,31929914,32031703
35885578,32031743,32399359
-48072324,32399377,32449841
21893786,32449848,32654138
14934852,32654146,32803603
23747572,32803625,33070155
-52307877,33070196,33132617
7414933,33132640,33207709
6857942,33207731,33277473
-10854715,33277500,33294575
-3885173,33294598,33302936
-8924122,33302959,33317842
38998275,33317850,33685981
9941495,33686003,33793694
-27333369,33793716,33826130
-3270375,33826153,33833468
-1994222,33833484,33838465
-8427870,33838486,33852956
49348333,33852996,34344800
-55877498,34344823,34404192
11351720,34404200,34515914
38067162,34515932,34896413
14688224,34896430,35057598
-37639091,35057621,35099589
36635925,35099611,35479173
-29185118,35479196,35513410
10692647,35513432,35634277
-28407890,35634300,35667867
26999971,35667908,35952999
2679151,35953022,35986807
-44696462,35986830,36035189
60762519,36035195,36662908
-58959360,36662932,36736516
61820432,36736533,37371302
-10969086,37371326,37388099
-55135217,37388123,37453000
-586260,37453008,37453571
2192739,37453573,37473843
40642307,37473844,37893468
-35284242,37893489,37932970
28308375,37932991,38217592
9772987,38217605,38322859
-45179749,38322877,38371488
14047268,38371495,38502551
48777496,38502573,39005658
-47600427,39005681,39057576
9300408,39057592,39150208
11136047,39150216,39255936
8003141,39255977,39349662
-21672139,39349684,39376807
17418695,39376829,39550251
15839182,39550270,39736022
-24194478,39736065,39765161
-29636485,39765178,39799411
9325711,39799417,39886039
55103111,39886083,40443770
-25056808,40443792,40473847
-22816256,40473863,40501951
-16526002,40501975,40524010
58928784,40524019,41101583
-57796117,41101606,41162691
42600025,41162697,41576446
17504407,41576469,41766465
-9829109,41766488,41782097
-14971110,41782107,41796519
-29359231,41796541,41835590
51920647,41835611,42373358
-45815664,42373382,42424482
39672830,42424505,42837944
-19653505,42837966,42863479
-3699870,42863509,42871530
764602,42871553,42885202
-18628306,42885243,42909484
14597104,42909545,43051576
-11993820,43051599,43069229
-11592732,43069252,43086551
26149811,43086557,43343577
-16797026,43343595,43365577
12348709,43365618,43493912
26030258,43493949,43757517
-36948770,43757526,43795419
-13380629,43795442,43814302
26667144,43814309,44077602
-16716046,44077616,44108777
23665033,44108794,44359152
-23465262,44359175,44387706
48294820,44387729,44893328
