Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
-------------
231254,299610

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
---------------------
48426367,299651,785023
-7632883,785038,798755
19592989,798796,1011185
684235,1011201,1024461
-40280206,1024485,1068862
16518318,1068884,1238113
-33119322,1238137,1275878
5611311,1275900,1334663
46908432,1334704,1823925
-53697068,1823948,1881013
26256133,1881030,2132581
-974111,2132603,2135527
5185983,2135549,2190021
-2921651,2190030,2192904
24228238,2192914,2449665
-23481423,2449688,2478175
20906500,2478183,2687758
-41326435,2687781,2733493
15493334,2733501,2878332
14605588,2878373,3026192
-16595179,3026210,3048347
-11576050,3048369,3065903
-652717,3065924,3068044
35342404,3068066,3428923
-29770977,3428947,3464308
43594261,3464325,3898153
-12940314,3898175,3916830
-6655020,3916847,3928536
4997481,3928559,3985520
-26798938,3985539,4017270
11007398,4017288,4132977
-23978883,4133000,4162132
18055353,4162141,4336997
-20130128,4337030,4362419
59393645,4362437,4958695
-34827016,4958713,4997679
-18445420,4997703,5021567
13201998,5021607,5157512
41772827,5157553,5580161
-60379944,5580192,5643560
30838682,5643582,5938976
-8276726,5938999,5953366
-3865449,5953389,5961740
8176657,5961760,6044812
-4978787,6044831,6054808
24911672,6054818,6318178
-46008512,6318220,6368886
46497321,6368903,6838383
-2334641,6838400,6843920
15140401,6843941,7015783
-22681154,7015823,7043596
-27689187,7043613,7075836
33578364,7075849,7417285
-22981513,7417308,7445407
-13763103,7445424,7458530
26407724,7458554,7720915
-11567054,7720939,7741808
20613036,7741831,7969914
-32979174,7969937,8007661
49657472,8007683,8522162
-59391728,8522185,8584629
10723324,8584648,8703008
11657086,8703047,8824972
31332749,8824995,9142693
-12896446,9142703,9155055
10342570,9155078,9272871
1267592,9272889,9291444
6312910,9291467,9361801
-60004134,9361818,9424727
26711171,9424750,9698853
28061044,9698904,9992496
-8244205,9992518,10006948
9192089,10006970,10105858
-45413947,10105875,10149215
16056503,10149238,10324158
2351955,10324181,10352411
7118206,10352450,10430258
4349825,10430299,10487812
-18442726,10487833,10511580
-9497744,10511631,10526934
22782953,10526984,10755599
-7458859,10755640,10768965
-18122998,10768974,10786315
3235472,10786338,10823399
20810214,10823441,11041120
1777790,11041143,11065534
-27146408,11065558,11097431
-10862096,11097454,11114260
29831564,11114283,11414822
30868309,11414831,11727357
-24380967,11727380,11757223
-10159187,11757245,11773440
-1016959,11773481,11776403
-20314570,11776425,11802007
8990956,11802030,11891771
-13980579,11891794,11911403
25118060,11911448,12166322
39878678,12166345,12589748
-51594931,12589771,12645064
12596252,12645086,12769083
-15935764,12769105,12790658
2647450,12790681,12821871
50250646,12821891,13339738
-62435124,13339759,13405652
64336521,13405669,14049188
-57242480,14049211,14110218
13381342,14110241,14240822
-12468002,14240845,14259370
52949640,14259379,14787124
-42368076,14787147,14833560
43617661,14833600,15284734
-60633352,15284757,15354697
14347595,15354720,15494320
31476165,15494336,15811765
-29841345,15811788,15846392
47235109,15846414,16330015
-12788076,16330034,16348206
-45890777,16348223,16398079
8771001,16398097,16486000
11642007,16486023,16600744
2569168,16600762,16631059
3448713,16631083,16669803
23391622,16669818,16913263
-19354497,16913281,16937902
-19177697,16937926,16962747
24309073,16962769,17203272
-15657277,17203290,17224271
28604138,17224287,17521294
-44635793,17521316,17570098
8888995,17570120,17659335
6190641,17659357,17723488
-15973022,17723511,17745132
1383305,17745173,17764396
22717405,17764419,17990777
-20841007,17990799,18017163
2491992,18017186,18046679
23712774,18046701,18284429
-23881891,18284450,18319615
37053913,18319631,18692659
-13503345,18692680,18711881
-13236535,18711903,18730711
-10098133,18730733,18746833
27786523,18746856,19027143
-12750869,19027165,19045561
-8721513,19045584,19060402
5588017,19060424,19118704
-8956067,19118735,19134110
36160485,19134140,19501667
-40431828,19501688,19551045
17629735,19551067,19721323
-23602122,19721339,19743820
27156632,19743843,20005207
-16865121,20005247,20027353
4037581,20027376,20072860
-19153026,20072902,20097611
-2022268,20097634,20102692
217960,20102733,20107932
49540198,20107949,20596468
-26770476,20596490,20628395
26637877,20628417,20897967
-26914728,20897987,20929876
25639538,20929898,21194732
14862851,21194754,21352179
-12850419,21352203,21370780
11795351,21370802,21496496
-59930915,21496537,21559227
15203285,21559250,21707101
-15550987,21707160,21728052
18782042,21728070,21909568
12515134,21909591,22033756
-27894619,22033777,22066670
21758212,22066692,22275537
-13050391,22275555,22294236
15402113,22294244,22437938
12907249,22437960,22573096
-27799618,22573114,22605115
40163725,22605138,23003594
-24615988,23003623,23033508
-24796867,23033530,23066535
5838299,23066556,23133624
35827233,23133663,23512179
-11246292,23512202,23529151
-3322183,23529170,23536449
-22509373,23536473,23564143
-2255785,23564159,23569620
24250019,23569642,23807738
27053436,23807756,24093486
-34196227,24093506,24132103
15830364,24132127,24293409
16586124,24293432,24468574
-49203183,24468597,24521376
22330483,24521399,24754660
-5587730,24754682,24765780
-13543262,24765812,24784970
50700262,24785012,25301860
-2981679,25301878,25308550
-56985897,25308572,25380261
54773797,25380300,25931965
-57855734,25931989,25999116
13978934,25999139,26149070
1880301,26149110,26172699
-9612921,26172716,26187882
56079290,26187899,26745746
-59571129,26745767,26809013
23291205,26809046,27031906
-16163969,27031923,27053653
-1095962,27053676,27056842
40035656,27056865,27459459
6635336,27459501,27532897
-24157978,27532917,27562095
7904322,27562116,27647604
-30662139,27647627,27682921
36889509,27682943,28043165
781171,28043188,28057492
-20546003,28057500,28077225
15079762,28077247,28230654
16843485,28230678,28413471
-5312139,28413480,28419036
-25083386,28419057,28449120
463909,28449159,28459524
-5285255,28459542,28469894
42640791,28469936,28917784
-48848841,28917824,28977242
5282147,28977263,29032529
6569546,29032552,29099771
14093619,29099811,29250982
10469207,29251005,29363964
-17289080,29363986,29386756
-17236967,29386780,29409592
-18296947,29409615,29433175
17703800,29433196,29618260
15332074,29618282,29767348
-7378333,29767370,29780810
-13898136,29780833,29800183
21445995,29800192,30006656
-13845818,30006678,30026154
5408934,30026194,30094418
-7190238,30094457,30107748
16530713,30107769,30274424
29688331,30274444,30582904
-14873160,30582928,30603239
-10466330,30603254,30613234
24927870,30613251,30866099
-36877009,30866109,30908160
4114836,30908177,30952730
-12443231,30952752,30971047
35522586,30971076,31330772
-39789848,31330795,31375220
40430671,31375242,31783018
-31506013,31783041,31819246
-17445142,31819255,31836251
60934906,31836270,32443097
-31103419,32443138,32478590
-19614390,32478613,32503589
-14754829,32503611,32524063
13715531,32524073,32659093
32633083,32659109,32992895
-11587837,32992916,33010170
20881841,33010193,33233761
-263480,33233785,33234837
3812540,33234860,33279751
-29395471,33279774,33314028
-30865711,33314052,33349487
18946429,33349511,33532539
23052086,33532557,33767396
-31099932,33767419,33809733
18353352,33809755,33993887
29402596,33993909,34294365
-31122886,34294388,34330047
-17326924,34330064,34352813
43041543,34352831,34782552
-50783728,34782593,34843701
18459956,34843724,35021722
1943793,35021738,35045851
3843316,35045874,35095716
-13312705,35095737,35114873
1966583,35114883,35133536
-14524962,35133552,35153099
43738011,35153117,35597522
-6470831,35597541,35609235
7678383,35609258,35693728
14795284,35693749,35857572
-42365056,35857595,35909742
-11563281,35909764,35926990
47802487,35927013,36417925
-22338933,36417961,36445399
-24923917,36445422,36475287
7415339,36475304,36550862
39327687,36550883,36939431
7026228,36939453,37016693
-10071413,37016715,37032866
8569787,37032888,37139084
-10117114,37139107,37155285
-25304107,37155309,37185972
20435920,37186012,37397795
14639032,37397816,37558449
-42670656,37558470,37605205
28599573,37605238,37890159
-14882750,37890167,37904514
15123517,37904535,38062140
14657287,38062162,38216825
-41358938,38216911,38261820
-12330524,38261843,38280042
24259257,38280064,38524809
25685217,38524830,38804681
-7416804,38804697,38817847
-23234993,38817870,38846183
12065409,38846224,38967941
-25094813,38967950,38992128
20226397,38992138,39189105
11538668,39189122,39311790
-36643018,39311807,39352373
-6381284,39352411,39364495
54227440,39364517,39911369
-36728357,39911410,39953042
-18512601,39953064,39977124
213204,39977145,39982359
64966931,39982375,40653111
-65020993,40653127,40733593
48392976,40733629,41206488
-39316269,41206509,41249968
27106894,41249990,41536500
9042638,41536522,41647430
-8353449,41647470,41661713
-22249518,41661735,41689157
4397857,41689196,41743240
-2230673,41743273,41748601
1377892,41748619,41767478
15925679,41767501,41929535
12946097,41929577,42079023
-411346,42079041,42080478
4482082,42080501,42132060
-31137456,42132102,42174183
31041061,42174224,42484056
-19906491,42484078,42509358
-6413732,42509381,42521512
-17196812,42521535,42544103
14312393,42544126,42683443
17966595,42683466,42882598
11744584,42882613,43007913
-31218208,43007935,43043577
45849166,43043599,43509601
-35773728,43509623,43550191
29628983,43550213,43854382
-43404670,43854398,43902525
2151383,43902545,43929026
9541190,43929047,44024372
-4493742,44024394,44033604
18583143,44033622,44220887
21901715,44220909,44449809
-19609990,44449831,44474660
-36703770,44474667,44509386
23458992,44509409,44734988
-22689528,44735012,44762646
42846156,44762690,45182506
-29254336,45182525,45217034
22006456,45217056,45450149
-44372625,45450170,45498861
62323806,45498883,46118328
-40904529,46118351,46163183
-6121064,46163207,46175035
15723431,46175074,46327340
-10583700,46327381,46343661
-14856904,46343683,46364092
47578515,46364116,46843136
-36907128,46843154,46884003
45358639,46884012,47369311
-58656547,47369355,47431058
56246367,47431081,48009768
2801237,48009790,48044267
-45518885,48044282,48093529
13516222,48093567,48225483
31176121,48225506,48555552
-25689902,48555576,48590676
5614318,48590699,48653661
9392599,48653677,48757297
-27724451,48757318,48790375
9564753,48790399,48885663
168132,48885681,48889987
-14658071,48890010,48910178
-8041110,48910200,48924144
-4334791,48924167,48933302
13557633,48933324,49068983
27494510,49069024,49348369
-46377703,49348389,49398735
53117529,49398757,49928043
-4787537,49928055,49937799
-8770405,49937821,49952615
-25594303,49952633,49982723
-4428781,49982774,49991956
52858946,49991978,50538475
-10700942,50538497,50555019
-34067866,50555041,50593555
3956527,50593599,50636683
15087549,50636706,50786018
13380742,50786038,50935146
6447571,50935169,51013119
-25071249,51013138,51042804
-11318282,51042822,51059282
45587187,51059299,51541457
-40764159,51541466,51585742
14932316,51585752,51742780
-7159804,51742803,51755995
6766134,51756018,51830585
22188772,51830601,52055917
-18525358,52055950,52079801
20536487,52079838,52300461
-4452962,52300485,52309870
1564317,52309909,52332080
-15204524,52332100,52352961
-781297,52352984,52355464
2820559,52355487,52390513
2186759,52390529,52419094
9252166,52419135,52525272
-4113887,52525296,52534668
-34015305,52534689,52573254
41618938,52573276,53003342
-53301377,53003363,53060336
7837822,53060370,53140370
-11028183,53140393,53157414
14175733,53157438,53295828
-12663288,53295851,53314463
19314912,53314481,53513270
36264293,53513291,53888411
-58560292,53888429,53949687
-4640803,53949709,53959262
30589238,53959284,54257620
22354787,54257643,54488370
-38087240,54488403,54531277
15230360,54531298,54679918
14129462,54679941,54826859
-13186472,54826877,54845484
-23919033,54845504,54874483
55622980,54874522,55442758
-50930079,55442777,55497423
54114197,55497444,56060940
-66288107,56060961,56131536
13890452,56131574,56270813
-1183285,56270834,56274114
-410244,56274122,56275072
41425912,56275079,56703368
-33344523,56703391,56741007
30579941,56741027,57062096
-24069224,57062119,57091132
-22360783,57091141,57112438
36026963,57112478,57473987
-17782429,57474011,57497245
-12264997,57497268,57515387
11725111,57515410,57630946
12222281,57630969,57752043
-4869448,57752066,57762071
31165922,57762089,58087291
-30951116,58087313,58122919
-25487005,58122942,58153497
2690579,58153538,58184957
39220101,58184980,58633784
4049630,58633818,58681094
-1737625,58681115,58685558
3062191,58685580,58723252
10282258,58723272,58846937
-28996023,58846961,58880609
25575053,58880627,59144686
-30351583,59144708,59180512
-21447015,59180533,59207177
-2159403,59207198,59212492
5074368,59212515,59266360
36134260,59266382,59624906
11073641,59624925,59743285
-23424054,59743302,59765553
-27891662,59765576,59798213
28525811,59798235,60083738
12606122,60083754,60218909
-22888724,60218932,60247229
-16926912,60247253,60269607
58807168,60269624,60868378
-39612397,60868400,60912361
2851643,60912378,60945035
-8907362,60945058,60959915
-19962000,60959938,60985316
34607336,60985339,61326853
-28188291,61326894,61360067
46087296,61360107,61824338
-7382283,61824361,61837731
-32347250,61837766,61874432
40061906,61874452,62300863
-52811464,62300876,62353859
12016968,62353883,62472325
29917968,62472345,62772295
10123122,62772318,62880789
-32027557,62880813,62918141
-11339421,62918157,62934830
50988873,62934839,63430365
-52717278,63430389,63486832
12854859,63486849,63615704
-3533323,63615744,63623481
-16563296,63623522,63645321
61012260,63645338,64257496
-14368225,64257518,64277516
-32528475,64277533,64314990
-4810203,64315000,64319819
23397117,64319828,64547362
8914754,64547384,64651022
-40353882,64651044,64695544
18668570,64695566,64888742
343851,64888765,64896436
44690610,64896458,65356136
-63217342,65356158,65422605
57846257,65422628,65995804
-30558515,65995821,66031377
-24447389,66031394,66060960
1263621,66060983,66079062
57764487,66079079,66658681
-1644412,66658703,66662844
-54844913,66662857,66718716
-5660843,66718739,66729888
17629766,66729904,66906684
2564998,66906701,66930548
12517583,66930572,67053993
23842981,67054015,67301441
-25368273,67301461,67332000
-13787573,67332024,67351578
-11920615,67351600,67369306
7879608,67369329,67455633
45100788,67455656,67920746
-36037794,67920769,67961073
-21014914,67961079,67980990
35549814,67981007,68329061
-35459869,68329083,68369391
48582166,68369414,68842522
-16129858,68842543,68864316
21939025,68864339,69098601
-35894397,69098620,69138911
20259316,69138934,69340119
-18329979,69340142,69363787
-19549877,69363826,69395125
52084715,69395146,69904589
1129967,69904606,69922197
-42751479,69922238,69969218
-10754660,69969241,69985733
36455536,69985756,70343583
-3683864,70343604,70351651
17785334,70351691,70538599
-14194811,70538622,70558348
2010998,70558358,70578846
-16794800,70578867,70601256
-23823548,70601265,70625517
11310440,70625540,70743537
48419410,70743554,71242701
-42701540,71242723,71289919
31339918,71289942,71619092
-20660247,71619130,71644943
27294754,71644965,71923447
-29701291,71923470,71964122
25077282,71964162,72225036
-29985445,72225059,72259883
2529733,72259892,72283445
3495924,72283453,72316139
13528367,72316159,72468412
-18371809,72468435,72492551
20536548,72492568,72697514
-40190011,72697535,72753985
47234376,72754007,73237216
7245836,73237240,73317485
-51025453,73317507,73374117
-6267440,73374137,73386272
50957497,73386294,73888286
-29246204,73888298,73922141
30427796,73922159,74228928
-4963846,74228970,74239129
17864525,74239174,74432887
-40169797,74432910,74477087
14571039,74477105,74636591
20447252,74636614,74862190
-51387743,74862212,74917375
-8478883,74917392,74925777
41034159,74925800,75340515
-3925038,75340539,75348949
-8797578,75348965,75363912
-3413881,75363935,75371330
-7177551,75371342,75379722
41315310,75379746,75800650
1582365,75800667,75824062
-43017958,75824100,75872180
-9407777,75872220,75887304
23481996,75887313,76119433
-30753768,76119454,76154875
20488655,76154897,76358883
-4966767,76358906,76369119
-16159876,76369132,76385254
49272573,76385271,76899860
-32969239,76899901,76937446
-8573071,76937486,76951848
51361583,76951890,77464724
-29792429,77464745,77499236
31481264,77499276,77828483
-15534009,77828501,77849397
285387,77849415,77856245
-5206872,77856247,77863618
-6952592,77863640,77876516
28403395,77876534,78183000
-17763868,78183019,78205734
-240916,78205754,78206710
4477229,78206850,78258570
-36901437,78258593,78299735
35668197,78299758,78649706
5203718,78649726,78708594
1904519,78708621,78734563
-41342082,78734580,78773674
49630097,78773690,79290706
-7114958,79290729,79303796
-14444906,79303814,79323595
20563235,79323615,79539702
-32638440,79539722,79576845
-24939305,79576885,79606639
4135003,79606661,79651869
-6319467,79651910,79663953
10532179,79663993,79774473
53788569,79774514,80322754
-66136204,80322777,80392012
35864231,80392034,80737996
20733474,80738018,80966514
-26953008,80966537,80998442
-2240699,80998465,81003891
-27160730,81003902,81031562
52790198,81031584,81545466
-50542552,81545489,81600085
3822617,81600107,81641788
33491670,81641809,81971368
-26071788,81971391,82002609
-11007692,82002627,82019314
25206049,82019337,82260687
21264402,82260708,82490969
2596068,82490988,82523749
-20565353,82523770,82549509
-30281724,82549531,82584533
32658339,82584554,82919369
-1303061,82919391,82922960
-20956279,82922982,82949153
40899004,82949182,83369388
-21514478,83369429,83396088
25258680,83396105,83661973
-56412036,83662013,83728216
35990547,83728234,84072682
10173766,84072699,84181841
-399146,84181882,84183274
6095580,84183315,84251549
-31517038,84251558,84287065
36995701,84287088,84664280
-21804184,84664302,84691479
10845160,84691494,84808515
-21228941,84808537,84834898
-20956845,84834905,84854798
37554666,84854820,85230397
18964394,85230419,85428471
-41863442,85428511,85474759
44897379,85474779,85929448
-42318242,85929470,85975749
39339969,85975787,86400246
-25689213,86400269,86431410
-20166938,86431432,86456861
37797182,86456900,86850432
124500,86850455,86854061
-366271,86854078,86855370
-51319266,86855392,86910495
48045300,86910537,87377474
-12816883,87377491,87395779
-23850055,87395801,87424858
11275718,87424881,87542851
-9452925,87542856,87551974
11695381,87551996,87666876
5957134,87666894,87728100
33334294,87728108,88073707
-58121551,88073728,88135109
15874794,88135133,88289268
27421486,88289291,88563942
-36622957,88563964,88604742
-12638988,88604803,88623239
20778452,88623260,88829978
-4691659,88830001,88839730
7112919,88839742,88907103
8576203,88907126,88993714
-10437235,88993732,89009644
19442740,89009654,89197865
9862904,89197885,89310723
1502230,89310745,89332186
-32369864,89332208,89369414
8419175,89369437,89454321
5753622,89454344,89515715
-16470056,89515738,89537783
-9833066,89537805,89553643
8254908,89553665,89637145
-2683734,89637167,89643517
43470371,89643527,90092022
-20145286,90092062,90117534
-34243987,90117543,90156373
8082401,90156395,90237928
-6910412,90237952,90250920
4776677,90250941,90301974
11338527,90301997,90426791
-252282,90426813,90427826
15286690,90427849,90578400
2514703,90578417,90609139
16809751,90609163,90792296
-49872741,90792318,90845897
53941248,90845927,91393607
